congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
80,house,W000683,Charles,Anderson,Wolverton,NA,1880-10-24,NJ,R,TRUE,1947-01-03,66.2
80,house,J000088,Thomas,Albert,Jenkins,NA,1880-10-28,OH,R,TRUE,1947-01-03,66.2
80,house,F000241,John,Hamlin,Folger,NA,1880-12-18,NC,D,TRUE,1947-01-03,66.0
80,house,Z000009,Orville,NA,Zimmerman,NA,1880-12-31,MO,D,TRUE,1947-01-03,66.0
80,house,G000297,Angier,Louis,Goodwin,NA,1881-01-30,MA,R,TRUE,1947-01-03,65.9
80,house,V000125,Charles,Wesley,Vursell,NA,1881-02-08,IL,R,TRUE,1947-01-03,65.9
80,house,R000392,Edith,Nourse,Rogers,NA,1881-03-19,MA,R,TRUE,1947-01-03,65.8
80,house,B001096,Raymond,Hugh,Burke,NA,1881-11-04,OH,R,FALSE,1947-01-03,65.2
80,house,R000082,Samuel,Taliaferro,Rayburn,NA,1882-01-06,TX,D,TRUE,1947-01-03,65.0
80,house,N000135,Fred,Barthold,Norman,NA,1882-03-21,WA,R,FALSE,1947-01-03,64.8
80,house,R000056,John,Elliott,Rankin,NA,1882-03-29,MS,D,TRUE,1947-01-03,64.8
80,house,C000439,Jerome,Bayard,Clark,NA,1882-04-05,NC,D,TRUE,1947-01-03,64.7
80,house,S000755,Raymond,Smiley,Springer,NA,1882-04-26,IN,R,TRUE,1947-01-03,64.7
80,house,M000224,Noah,Morgan,Mason,NA,1882-07-19,IL,R,TRUE,1947-01-03,64.5
80,house,H000356,Franck,Roberts,Havenner,NA,1882-09-20,CA,D,TRUE,1947-01-03,64.3
80,house,S000554,Howard,Worth,Smith,NA,1883-02-02,VA,D,TRUE,1947-01-03,63.9
80,house,B001056,Alfred,Lee,Bulwinkle,NA,1883-04-21,NC,D,TRUE,1947-01-03,63.7
80,house,C000390,Ralph,Edwin,Church,NA,1883-05-05,IL,R,TRUE,1947-01-03,63.7
80,house,R000209,Robert,Fleming,Rich,NA,1883-06-23,PA,R,TRUE,1947-01-03,63.5
80,house,K000058,Augustine,Bernard,Kelley,NA,1883-07-09,PA,D,TRUE,1947-01-03,63.5
80,house,V000105,Carl,NA,Vinson,NA,1883-11-18,GA,D,TRUE,1947-01-03,63.1
80,house,D000411,George,Anthony,Dondero,NA,1883-12-16,MI,R,TRUE,1947-01-03,63.0
80,house,C000268,E.,Wallace,Chadwick,NA,1884-01-17,PA,R,FALSE,1947-01-03,63.0
80,house,S000845,Karl,NA,Stefan,NA,1884-03-01,NE,R,TRUE,1947-01-03,62.8
80,house,G000541,Ralph,Waldo,Gwinn,NA,1884-03-29,NY,R,TRUE,1947-01-03,62.8
80,house,J000264,Bartel,John,Jonkman,NA,1884-04-28,MI,R,TRUE,1947-01-03,62.7
80,house,B000750,Willis,Winter,Bradley,NA,1884-06-28,CA,R,FALSE,1947-01-03,62.5
80,house,S000536,Frederick,Cleveland,Smith,NA,1884-07-29,OH,R,TRUE,1947-01-03,62.4
80,house,J000224,Hamilton,Chamberlain,Jones,NA,1884-09-26,NC,D,FALSE,1947-01-03,62.3
80,house,M000191,Joseph,William,Martin,Jr.,1884-11-03,MA,R,TRUE,1947-01-03,62.2
80,house,L000251,John,NA,Lesinski,NA,1885-01-03,MI,D,TRUE,1947-01-03,62.0
80,house,S000335,Harry,Richard,Sheppard,NA,1885-01-10,CA,D,TRUE,1947-01-03,62.0
80,house,B000332,Charles,Jasper,Bell,NA,1885-01-16,MO,D,TRUE,1947-01-03,62.0
80,house,A000227,James,Coats,Auchincloss,NA,1885-01-19,NJ,R,TRUE,1947-01-03,62.0
80,house,W000699,John,Stephens,Wood,NA,1885-02-08,GA,D,TRUE,1947-01-03,61.9
80,house,F000191,John,William,Flannagan,Jr.,1885-02-20,VA,D,TRUE,1947-01-03,61.9
80,house,B000725,Frank,William,Boykin,NA,1885-02-21,AL,D,TRUE,1947-01-03,61.9
80,house,B000607,Frances,Payne,Bolton,NA,1885-03-29,OH,R,TRUE,1947-01-03,61.8
80,house,M001081,John,Robert,Murdock,NA,1885-04-20,AZ,D,TRUE,1947-01-03,61.7
80,house,G000031,Ralph,Abernethy,Gamble,NA,1885-05-06,NY,R,TRUE,1947-01-03,61.7
80,house,T000263,Harve,NA,Tibbott,NA,1885-05-27,PA,R,TRUE,1947-01-03,61.6
80,house,C000515,Cliff,NA,Clevenger,NA,1885-08-20,OH,R,TRUE,1947-01-03,61.4
80,house,S000029,John,Carfield,Sanborn,NA,1885-09-28,ID,R,FALSE,1947-01-03,61.3
80,house,C000529,Roy,NA,Clippinger,NA,1886-01-13,IL,R,TRUE,1947-01-03,61.0
80,house,H000613,William,Silas,Hill,NA,1886-01-20,CO,R,TRUE,1947-01-03,61.0
80,house,R000369,Robert,Fay,Rockwell,NA,1886-02-11,CO,R,TRUE,1947-01-03,60.9
80,house,D000158,William,Levi,Dawson,NA,1886-04-26,IL,D,TRUE,1947-01-03,60.7
80,house,R000132,Edward,Herbert,Rees,NA,1886-06-03,KS,R,TRUE,1947-01-03,60.6
80,house,S000155,George,Blaine,Schwabe,NA,1886-07-26,OK,R,TRUE,1947-01-03,60.4
80,house,R000391,Dwight,Laing,Rogers,NA,1886-08-17,FL,D,TRUE,1947-01-03,60.4
80,house,M000680,Herbert,Alton,Meyer,NA,1886-08-30,KS,R,FALSE,1947-01-03,60.3
80,house,G000332,Martin,NA,Gorski,NA,1886-10-30,IL,D,TRUE,1947-01-03,60.2
80,house,K000244,Michael,Joseph,Kirwan,NA,1886-12-02,OH,D,TRUE,1947-01-03,60.1
80,house,B001148,Clarence,Godber,Burton,NA,1886-12-14,VA,D,FALSE,1947-01-03,60.1
80,house,L000279,Earl,Ramage,Lewis,NA,1887-02-22,OH,R,TRUE,1947-01-03,59.9
80,house,L000157,Karl,Miles,Le Compte,NA,1887-05-25,IA,R,TRUE,1947-01-03,59.6
80,house,B001179,John,Cornelius,Butler,NA,1887-07-02,NY,R,TRUE,1947-01-03,59.5
80,house,E000135,Hubert,Summers,Ellis,NA,1887-07-06,WV,R,TRUE,1947-01-03,59.5
80,house,J000165,Noble,Jacob,Johnson,NA,1887-08-23,IN,R,TRUE,1947-01-03,59.4
80,house,P000309,John,NA,Phillips,NA,1887-09-11,CA,R,TRUE,1947-01-03,59.3
80,house,K000041,Frank,Bateman,Keefe,NA,1887-09-23,WI,R,TRUE,1947-01-03,59.3
80,house,M001062,Frederick,Augustus,Muhlenberg,NA,1887-09-25,PA,R,FALSE,1947-01-03,59.3
80,house,H000663,Samuel,Francis,Hobbs,NA,1887-10-05,AL,D,TRUE,1947-01-03,59.2
80,house,M001112,Reid,Fred,Murray,NA,1887-10-16,WI,R,TRUE,1947-01-03,59.2
80,house,E000178,Albert,Joseph,Engel,NA,1888-01-01,MI,R,TRUE,1947-01-03,59.0
80,house,R000083,Leo,Frederick,Rayfiel,NA,1888-03-22,NY,D,TRUE,1947-01-03,58.8
80,house,J000157,Justin,Leroy,Johnson,NA,1888-04-08,CA,R,TRUE,1947-01-03,58.7
80,house,C000889,Fred,Lewis,Crawford,NA,1888-05-05,MI,R,TRUE,1947-01-03,58.7
80,house,C000264,Emanuel,NA,Celler,NA,1888-05-06,NY,D,TRUE,1947-01-03,58.7
80,house,W000304,Milton,Horace,West,NA,1888-06-30,TX,D,TRUE,1947-01-03,58.5
80,house,N000097,Donald,William,Nicholson,NA,1888-08-11,MA,R,FALSE,1947-01-03,58.4
80,house,M000442,Robert,Neill,McGarvey,NA,1888-08-14,PA,R,FALSE,1947-01-03,58.4
80,house,L000077,Henderson,Lovelace,Lanham,NA,1888-09-14,GA,D,FALSE,1947-01-03,58.3
80,house,G000379,Walter,Keil,Granger,NA,1888-10-11,UT,D,TRUE,1947-01-03,58.2
80,house,G000493,Chester,Heilman,Gross,NA,1888-10-13,PA,R,TRUE,1947-01-03,58.2
80,house,H000443,James,Joseph,Heffernan,NA,1888-11-08,NY,D,TRUE,1947-01-03,58.1
80,house,K000030,Bernard,William,Kearney,NA,1889-05-23,NY,R,TRUE,1947-01-03,57.6
80,house,C000655,Jesse,Martin,Combs,NA,1889-07-07,TX,D,TRUE,1947-01-03,57.5
80,house,A000250,Walter,Gresham,Andrews,NA,1889-07-16,NY,R,TRUE,1947-01-03,57.5
80,house,F000075,Ivor,David,Fenton,NA,1889-08-03,PA,R,TRUE,1947-01-03,57.4
80,house,R000319,Charles,Raymond,Robertson,NA,1889-09-05,ND,R,TRUE,1947-01-03,57.3
80,house,C000810,William,Wirt,Courtney,NA,1889-09-07,TN,D,TRUE,1947-01-03,57.3
80,house,D000281,Wesley,Abner,D'Ewart,NA,1889-10-01,MT,R,TRUE,1947-01-03,57.3
80,house,G000543,John,Williams,Gwynne,NA,1889-10-20,IA,R,TRUE,1947-01-03,57.2
80,house,F000066,Frank,NA,Fellows,NA,1889-11-07,ME,R,TRUE,1947-01-03,57.2
80,house,M000037,William,Kingsland,Macy,NA,1889-11-21,NY,R,FALSE,1947-01-03,57.1
80,house,H000036,Robert,NA,Hale,NA,1889-11-29,ME,R,TRUE,1947-01-03,57.1
80,house,C000645,William,Meyers,Colmer,NA,1890-02-11,MS,D,TRUE,1947-01-03,56.9
80,house,G000111,Bertrand,Wesley,Gearhart,NA,1890-05-31,CA,R,TRUE,1947-01-03,56.6
80,house,R000111,Chauncey,William,Reed,NA,1890-06-02,IL,R,TRUE,1947-01-03,56.6
80,house,C000993,Paul,Harvey,Cunningham,NA,1890-06-15,IA,R,TRUE,1947-01-03,56.6
80,house,B001024,Charles,Anthony,Buckley,NA,1890-06-23,NY,D,TRUE,1947-01-03,56.5
80,house,B000486,Cecil,William,Bishop,NA,1890-06-29,IL,R,TRUE,1947-01-03,56.5
80,house,L000095,Henry,Dominique,Larcade,Jr.,1890-07-12,LA,D,TRUE,1947-01-03,56.5
80,house,S000797,Thomas,Bahnson,Stanley,NA,1890-07-16,VA,D,TRUE,1947-01-03,56.5
80,house,M000233,Frank,Asbury,Mathews,Jr.,1890-08-03,NJ,R,TRUE,1947-01-03,56.4
80,house,C000473,Charles,Russell,Clason,NA,1890-09-03,MA,R,TRUE,1947-01-03,56.3
80,house,A000239,August,Herman,Andresen,NA,1890-10-11,MN,R,TRUE,1947-01-03,56.2
80,house,A000114,Asa,Leonard,Allen,NA,1891-01-05,LA,D,TRUE,1947-01-03,56.0
80,house,M000727,George,Paul,Miller,NA,1891-01-15,CA,D,TRUE,1947-01-03,56.0
80,house,B000232,George,Joseph,Bates,NA,1891-02-25,MA,R,TRUE,1947-01-03,55.9
80,house,R000022,Homer,Alonzo,Ramey,NA,1891-03-02,OH,R,TRUE,1947-01-03,55.8
80,house,P000002,Stephen,NA,Pace,NA,1891-03-09,GA,D,TRUE,1947-01-03,55.8
80,house,W000450,Richard,Bowditch,Wigglesworth,NA,1891-04-25,MA,R,TRUE,1947-01-03,55.7
80,house,B000621,Herbert,Covington,Bonner,NA,1891-05-16,NC,D,TRUE,1947-01-03,55.6
80,house,M000021,Russell,Vernon,Mack,NA,1891-06-13,WA,R,FALSE,1947-01-03,55.6
80,house,S000923,William,Grady,Stigler,NA,1891-07-07,OK,D,TRUE,1947-01-03,55.5
80,house,E000160,Charles,Henry,Elston,NA,1891-08-01,OH,R,TRUE,1947-01-03,55.4
80,house,W000252,Alvin,F.,Weichel,NA,1891-09-11,OH,R,TRUE,1947-01-03,55.3
80,house,S000896,William,Henry,Stevenson,NA,1891-09-23,WI,R,TRUE,1947-01-03,55.3
80,house,B000119,Parke,Monroe,Banta,NA,1891-11-21,MO,R,FALSE,1947-01-03,55.1
80,house,M000364,John,William,McCormack,NA,1891-12-21,MA,D,TRUE,1947-01-03,55.0
80,house,T000028,Henry,Oscar,Talle,NA,1892-01-12,IA,R,TRUE,1947-01-03,55.0
80,house,P000285,Joseph,Lawrence,Pfeifer,NA,1892-02-06,NY,D,TRUE,1947-01-03,54.9
80,house,M000039,Ray,John,Madden,NA,1892-02-25,IN,D,TRUE,1947-01-03,54.9
80,house,G000091,Julian,Vaughan,Gary,NA,1892-02-25,VA,D,TRUE,1947-01-03,54.9
80,house,E000029,Herman,Peter,Eberharter,NA,1892-04-29,PA,D,TRUE,1947-01-03,54.7
80,house,M000715,Arthur,Lewis,Miller,NA,1892-05-24,NE,R,TRUE,1947-01-03,54.6
80,house,B000794,Walter,Ellsworth,Brehm,NA,1892-05-25,OH,R,TRUE,1947-01-03,54.6
80,house,B001016,Ellsworth,Brewer,Buck,NA,1892-07-03,NY,R,TRUE,1947-01-03,54.5
80,house,R000288,Ross,NA,Rizley,NA,1892-07-05,OK,R,TRUE,1947-01-03,54.5
80,house,C000070,Albert,Sidney,Camp,NA,1892-07-26,GA,D,TRUE,1947-01-03,54.4
80,house,D000571,Carl,Thomas,Durham,NA,1892-08-28,NC,D,TRUE,1947-01-03,54.3
80,house,S000585,Lawrence,Henry,Smith,NA,1892-09-15,WI,R,TRUE,1947-01-03,54.3
80,house,S000640,Wint,NA,Smith,NA,1892-10-07,KS,R,FALSE,1947-01-03,54.2
80,house,J000058,Peterson,Bryant,Jarman,NA,1892-10-31,AL,D,TRUE,1947-01-03,54.2
80,house,B000176,Frank,Aloysius,Barrett,NA,1892-11-10,WY,R,TRUE,1947-01-03,54.1
80,house,J000100,Benton,Franklin,Jensen,NA,1892-12-16,IA,R,TRUE,1947-01-03,54.0
80,house,M000199,Thomas,Ellsworth,Martin,NA,1893-01-18,IA,R,TRUE,1947-01-03,54.0
80,house,B000999,Joseph,Raleigh,Bryson,NA,1893-01-18,SC,D,TRUE,1947-01-03,54.0
80,house,G000102,Leon,Harry,Gavin,NA,1893-02-25,PA,R,TRUE,1947-01-03,53.9
80,house,W000668,Jesse,Paine,Wolcott,NA,1893-03-03,MI,R,TRUE,1947-01-03,53.8
80,house,R000140,Kenneth,Mills,Regan,NA,1893-03-06,TX,D,FALSE,1947-01-03,53.8
80,house,H000284,Edward,Joseph,Hart,NA,1893-03-25,NJ,D,TRUE,1947-01-03,53.8
80,house,G000472,Percy,Wilfred,Griffiths,NA,1893-03-30,OH,R,TRUE,1947-01-03,53.8
80,house,K000170,Clarence,Evans,Kilburn,NA,1893-04-13,NY,R,TRUE,1947-01-03,53.7
80,house,S000277,Paul,Werntz,Shafer,NA,1893-04-27,MI,R,TRUE,1947-01-03,53.7
80,house,L000519,Georgia,Lee,Lusk,NA,1893-05-12,NM,D,FALSE,1947-01-03,53.6
80,house,H000768,Clifford,Ragsdale,Hope,NA,1893-06-09,KS,R,TRUE,1947-01-03,53.6
80,house,B000909,Clarence,J.,Brown,NA,1893-07-14,OH,R,TRUE,1947-01-03,53.5
80,house,C000755,Jere,NA,Cooper,NA,1893-07-20,TN,D,TRUE,1947-01-03,53.5
80,house,P000103,John,William Wright,Patman,NA,1893-08-06,TX,D,TRUE,1947-01-03,53.4
80,house,J000225,Homer,Raymond,Jones,NA,1893-09-03,WA,R,FALSE,1947-01-03,53.3
80,house,L000161,Jay,NA,Le Fevre,NA,1893-09-06,NY,R,TRUE,1947-01-03,53.3
80,house,K000029,Robert,Winthrop,Kean,NA,1893-09-28,NJ,R,TRUE,1947-01-03,53.3
80,house,S000067,Lansdale,Ghiselin,Sasscer,NA,1893-09-30,MD,D,TRUE,1947-01-03,53.3
80,house,C000192,Henderson,Haverfield,Carson,NA,1893-10-25,OH,R,FALSE,1947-01-03,53.2
80,house,B000237,Joseph,Bengal,Bates,NA,1893-10-29,KY,D,TRUE,1947-01-03,53.2
80,house,G000316,Thomas,Sylvy,Gordon,NA,1893-12-17,IL,D,TRUE,1947-01-03,53.0
80,house,D000354,John,David,Dingell,NA,1894-02-02,MI,D,TRUE,1947-01-03,52.9
80,house,T000373,James,William,Trimble,NA,1894-02-03,AR,D,TRUE,1947-01-03,52.9
80,house,P000261,James,Hardin,Peterson,NA,1894-02-11,FL,D,TRUE,1947-01-03,52.9
80,house,W000108,Francis,Eugene,Walter,NA,1894-05-26,PA,D,TRUE,1947-01-03,52.6
80,house,B000271,James,Glenn,Beall,NA,1894-06-05,MD,R,TRUE,1947-01-03,52.6
80,house,L000537,Walter,Aloysius,Lynch,NA,1894-07-07,NY,D,TRUE,1947-01-03,52.5
80,house,S000764,Katharine,Price Collier,St. George,NA,1894-07-12,NY,R,FALSE,1947-01-03,52.5
80,house,H000640,John,Carl Williams,Hinshaw,NA,1894-07-28,CA,R,TRUE,1947-01-03,52.4
80,house,M001114,Thomas,Jefferson,Murray,NA,1894-08-01,TN,D,TRUE,1947-01-03,52.4
80,house,H000442,Erland,Harold,Hedrick,NA,1894-08-09,WV,D,TRUE,1947-01-03,52.4
80,house,D000403,James,Isaac,Dolliver,NA,1894-08-31,IA,R,TRUE,1947-01-03,52.3
80,house,R000214,James,Prioleau,Richards,NA,1894-08-31,SC,D,TRUE,1947-01-03,52.3
80,house,S000437,Sidney,Elmer,Simpson,NA,1894-09-20,IL,R,TRUE,1947-01-03,52.3
80,house,M000414,Gordon,Leo,McDonough,NA,1895-01-02,CA,R,TRUE,1947-01-03,52.0
80,house,T000175,John,Parnell,Thomas,NA,1895-01-16,NJ,R,TRUE,1947-01-03,52.0
80,house,O000056,Joseph,Patrick,O'Hara,NA,1895-01-23,MN,R,TRUE,1947-01-03,51.9
80,house,M000724,Edward,Tylor,Miller,NA,1895-02-01,MD,R,FALSE,1947-01-03,51.9
80,house,R000260,John,Jacob,Riley,NA,1895-02-01,SC,D,TRUE,1947-01-03,51.9
80,house,B001161,Fred,Ernst,Busbey,NA,1895-02-08,IL,R,FALSE,1947-01-03,51.9
80,house,L000052,Gerald,Wayne,Landis,NA,1895-02-23,IN,R,TRUE,1947-01-03,51.9
80,house,C000317,Virgil,Munday,Chapman,NA,1895-03-15,KY,D,TRUE,1947-01-03,51.8
80,house,S000676,Andrew,Lawrence,Somers,NA,1895-03-21,NY,D,TRUE,1947-01-03,51.8
80,house,H000548,Christian,Archibald,Herter,NA,1895-03-28,MA,R,TRUE,1947-01-03,51.8
80,house,H000678,Charles,Bernard,Hoeven,NA,1895-03-30,IA,R,TRUE,1947-01-03,51.8
80,house,D000109,James,Curran,Davis,NA,1895-05-17,GA,D,FALSE,1947-01-03,51.6
80,house,F000255,Aime,Joseph,Forand,NA,1895-05-23,RI,D,TRUE,1947-01-03,51.6
80,house,E000119,Alfred,James,Elliott,NA,1895-06-01,CA,D,TRUE,1947-01-03,51.6
80,house,H000217,Forest,Arthur,Harness,NA,1895-06-24,IN,R,TRUE,1947-01-03,51.5
80,house,P000475,C.,Norris,Poulson,NA,1895-07-23,CA,R,FALSE,1947-01-03,51.4
80,house,F000404,Hadwen,Carlton,Fuller,NA,1895-08-28,NY,R,TRUE,1947-01-03,51.3
80,house,V000003,Richard,Bernard,Vail,NA,1895-08-31,IL,R,FALSE,1947-01-03,51.3
80,house,G000135,Charles,Lewis,Gerlach,NA,1895-09-14,PA,R,TRUE,1947-01-03,51.3
80,house,A000216,Leslie,Cornelius,Arends,NA,1895-09-27,IL,R,TRUE,1947-01-03,51.3
80,house,D000360,Everett,McKinley,Dirksen,NA,1896-01-04,IL,R,TRUE,1947-01-03,51.0
80,house,J000086,Mitchell,NA,Jenkins,NA,1896-01-24,PA,R,FALSE,1947-01-03,50.9
80,house,R000002,Benjamin,J.,Rabin,NA,1896-06-03,NY,D,TRUE,1947-01-03,50.6
80,house,V000119,John,Martin,Vorys,NA,1896-06-16,OH,R,TRUE,1947-01-03,50.5
80,house,T000198,Clark,Wallace,Thompson,NA,1896-08-06,TX,D,FALSE,1947-01-03,50.4
80,house,N000137,William,Frank,Norrell,NA,1896-08-29,AR,D,TRUE,1947-01-03,50.3
80,house,B000139,Graham,Arthur,Barden,NA,1896-09-25,NC,D,TRUE,1947-01-03,50.3
80,house,B000356,George,Harrison,Bender,NA,1896-09-29,OH,R,TRUE,1947-01-03,50.3
80,house,M000460,J.,Harry,McGregor,NA,1896-09-30,OH,R,TRUE,1947-01-03,50.3
80,house,C000221,Francis,Higbee,Case,NA,1896-12-09,SD,R,TRUE,1947-01-03,50.1
80,house,A000179,Herman,Carl,Andersen,NA,1897-01-27,MN,R,TRUE,1947-01-03,49.9
80,house,T000444,Robert,Joseph,Twyman,NA,1897-06-18,IL,R,FALSE,1947-01-03,49.5
80,house,G000381,George,McInvale,Grant,NA,1897-07-11,AL,D,TRUE,1947-01-03,49.5
80,house,C000736,Harold,Dunbar,Cooley,NA,1897-07-26,NC,D,TRUE,1947-01-03,49.4
80,house,C000346,John,Edgar,Chenoweth,NA,1897-08-17,CO,R,TRUE,1947-01-03,49.4
80,house,C000614,William,Clay,Cole,NA,1897-08-29,MO,R,TRUE,1947-01-03,49.3
80,house,G000447,Noble,Jones,Gregory,NA,1897-08-30,KY,D,TRUE,1947-01-03,49.3
80,house,F000034,Joseph,Rider,Farrington,NA,1897-10-15,HI,R,TRUE,1947-01-03,49.2
80,house,D000094,Clifford,NA,Davis,NA,1897-11-18,TN,D,TRUE,1947-01-03,49.1
80,house,S000590,Margaret,Chase,Smith,NA,1897-12-14,ME,R,TRUE,1947-01-03,49.1
80,house,O000160,Thomas,Leonard,Owens,NA,1897-12-21,IL,R,FALSE,1947-01-03,49.0
80,house,B000884,Overton,NA,Brooks,NA,1897-12-21,LA,D,TRUE,1947-01-03,49.0
80,house,F000250,Ellsworth,Bishop,Foote,NA,1898-01-12,CT,R,FALSE,1947-01-03,49.0
80,house,K000196,Cecil,Rhodes,King,NA,1898-01-13,CA,D,TRUE,1947-01-03,49.0
80,house,H000550,William,Emil,Hess,NA,1898-02-13,OH,R,TRUE,1947-01-03,48.9
80,house,S000194,Errett,Power,Scrivner,NA,1898-03-20,KS,R,TRUE,1947-01-03,48.8
80,house,S000377,Dewey,Jackson,Short,NA,1898-04-07,MO,R,TRUE,1947-01-03,48.7
80,house,B000742,Frederick,Van Ness,Bradley,NA,1898-04-12,MI,R,TRUE,1947-01-03,48.7
80,house,M000568,John,Lanneau,McMillan,NA,1898-04-12,SC,D,TRUE,1947-01-03,48.7
80,house,T000156,Albert,NA,Thomas,NA,1898-04-12,TX,D,TRUE,1947-01-03,48.7
80,house,C000113,Gordon,NA,Canfield,NA,1898-04-15,NJ,R,TRUE,1947-01-03,48.7
80,house,C000804,Frederic,René,Coudert,Jr.,1898-05-07,NY,R,FALSE,1947-01-03,48.7
80,house,D000004,Paul,Bartram,Dague,NA,1898-05-19,PA,R,FALSE,1947-01-03,48.6
80,house,P000303,Philip,Joseph,Philbin,NA,1898-05-29,MA,D,TRUE,1947-01-03,48.6
80,house,A000163,James,Lindsay,Almond,Jr.,1898-06-15,VA,D,TRUE,1947-01-03,48.6
