Licensee,DBA,License #,Street Address ,City,Zip 
ACME HEALING CENTER OF RIDGWAY LLC,,402R-00155,157 Highway 550 Suite B,Ridgway,81432
ACME HEALING CENTER OF SILVERTON LLC,,402R-00455,1330 Greene Street,Silverton,81433
ADVANCED MEDICAL ALTERNATIVES LLC,,402R-00105,1269 Elati Street,Denver,80204
AHAB LLC,STRAWBERRY FIELDS,402R-00606,116 Santa Fe Trail Drive,Trinidad,81082
AJO HOLDINGS LLC,NATURAL SELECTIONS,402R-00417,920 West 104th Avenue,Northglenn,80234
AJS AURORA LLC,SWEET LEAF,402R-00311,"15200 East 6th Avenue, Unit 1",Aurora,80011
ALCC LLC,THE DAB BY NEXT HARVEST,402R-00137,2748 West Alameda Avenue,Denver,80219
ALPENGLOW BOTANICALS LLC,,402R-00074,"1805 Airport Road, Units B1B & B1C",Breckenridge,80424
ALPENGLOW BOTANICALS LLC,ALPENGLOW BOTANICALS,402R-00365,765 W Anemone Trail  Unit C,Dillon,80435
ALPINE HERBAL WELLNESS LLC,FROSTED LEAF,402R-00187,445 Federal Boulevard,Denver,80204
ALPINE WELLNESS LLC,ALPINE WELLNESS,402R-00091,"300 West Colorado Avenue, Unit 2C, Suites B-H",Telluride,81435
ALTERNATIVE HOLISTIC HEALING LLC,ROCKY MOUNTAIN ORGANICS,402R-00151,5312 Hwy 119 Unit B,Black Hawk,80422
ALTERNATIVE HOLISTIC HEALING LLC,ROCKY MOUNTAIN ORGANICS,402R-00450,161 Gregory Street,Central City,80427
ALTERNATIVE MEDICINE ON CAPITOL HILL LLC,,402R-00013,1301 Marion Street,Denver,80218
ALTERNATIVE MEDICINE ON THE MALL LLC,NATIVE ROOTS APOTHECARY,402R-00027,"910 16th Street, Suite 805",Denver,80202
ALTITUDE WELLNESS CENTER LLC,NATURE'S HERBS AND WELLNESS DTC,402R-00130,"3435 South Yosemite Street, Suite 200",Denver,80231
AMERICAN INDUSTRY LLC,DENVER CLONE STORE,402R-00344,"755 South Federal Boulevard, Unit 5",Denver,80219
AMERICAN INDUSTRY LLC,DENVER CLONE STORE,402R-00465,4571 Ivy Street,Denver,80216
AMERICAN PRIDE GROWERS LLC,LEAF ON THE MESA,402R-00382,1917 Santa Fe Drive,Pueblo,81006
ANCIENT ALTERNATIVES LLC,GREEN TREE MEDICINALS,402R-00535,12626 North 107 Street,Longmont,80504
ANIMAS HERBAL WELLNESS CENTER INC,,402R-00261,"1111 Camino Del Rio, Suite 5",Durango,81301
ANNIES TOBACCO EMPORIUM LLC,ANNIE'S DISPENSARY,402R-00002,135 Nevada Street,Central City,80427
APEX INDUSTRIES INC,HARVEST HOUSE,402R-00406,211 Highway 119,Nederland,80466
APOGEE MANAGEMENT INC,TERRAPIN CARE STATION,402R-00269,"11091 East Mississippi Avenue, Suite B",Aurora,80012
APOGEE MANAGEMENT INC,TERRAPIN CARE STATION,402R-00334,"11900 East 33rd Avenue, Suite 1",Aurora,80010
AREN & DAVES DREAM LLC,SERGEANT GREEN LEAF,402R-00131,1410 Argentine Street,Georgetown,80444
ASCEND II LLC,ASCEND II,402R-00040,3555 South Yosemite Street,Denver,80237
BACK TO THE GARDEN HEALTH & WELLNESS CENTER LLC,,402R-00165,1755 South Broadway,Denver,80210
BALLPARK HOLISTIC DISPENSARY CORP,BALLPARK HOLISTIC DISPENSARY,402R-00253,"2119 Larimer Street, Suite 1",Denver,80205
BEDDOR CLAUDE LLC,CHRONIC THERAPY,402R-00217,10030 West 27th Avenue,Wheat Ridge,80215
BELEAF WELLNESS CENTER LLC,,402R-00511,327 Main Street,San Luis,81152
BERKELEY MMC LLC,TRU CANNABIS BERKELEY,402R-00387,4103 Sheridan Boulevard,Denver,80212
BEST BUDS INC,,402R-00507,811 North Main Street,Gunnison,81230
BEYOND BROADWAY LLC,LIVWELL,402R-00166,432 South Broadway,Denver,80209
BG3 INVESTMENTS LLC,DRIFT,402R-00586,"1750 30th Street, Unit 12",Boulder,80301
BIG TOE LLC,FINE TREES,402R-00597,5353 Joliet Street,Denver,80239
BIOENERGETIC HEALING CENTER LLC,HERBAL BLISS,402R-00124,"842 North Summit Boulevard, Suite 13",Frisco,80443
BK HOLDINGS LLC,THE HERBAL CENTER,402R-00418,12005 East 37th Avenue,Denver,80239
BK HOLDINGS LLC,THE HERBAL CENTER,402R-00601,1909 South Broadway,Denver,80210
BOOM TOWN LLC,URBA CRESTED BUTTE,402R-00413,"310 North Belleview Avenue, Unit 2",Crested Butte,81224
BOTANACARE LLC,B GOOD,402R-00132,"11450 Cherokee Street, Unit A6",Northglenn,80234
BOTANICO INC,,402R-00053,3054 Larimer Street,Denver,80205
BOULDER ALTERNATIVE CARE LLC,THE GREEN ROOM,402R-00188,"2750 Glenwood Drive, Suite 8",Boulder,80304
BOULDER RX LLC,NATIVE ROOTS BOULDER,402R-00173,1146 Pearl Street,Boulder,80302
BOULDER WELLNESS CENTER LLC,,402R-00415,"5420 Arapahoe Avenue, Unit E",Boulder,80303
BRECKENRIDGE CANNABIS CLUB LLC,GREEN DRAGON COLORADO,402R-00107,"1795 Airport Road, Unit A3",Breckenridge,80424
BRECKENRIDGE ORGANIC THERAPY LLC,,402R-00181,"1900 Airport Road, Unit A-1",Breckenridge,80424
BUD HUT INC,BUD HUT INC,402R-00463,"973 U.S. Highway 85 87, Suite 100",Walsenburg,81089
BUD MED HEALTH CENTERS LLC,LIVE GREEN CANNABIS,402R-00050,2517 Sheridan Boulevard,Edgewater,80214
BUDS LTD,,402R-00528,104 Cardinal Way,Parachute,81635
BUSHES LLC,THE STATION,402R-00234,3005 28th Street,Boulder,80301
C^3 COLORADO SPRINGS LLC,PURE INTENTIONS WELLNESS CENTER,402R-00562,2565 North Interstate 25,Pueblo,81008
CANNA COMPANY,CANNACO,402R-00371,3019 Toupal Drive,Trinidad,81082
CANNABIS CARE WELLNESS CENTERS LLC,SMOKEYS,402R-00169,2515 7th Avenue,Garden City,80631
CANNABIS CORP,THE JOINT BY CANNABIS,402R-00230,4735 West 38th Avenue,Denver,80212
CANNABIS FOR HEALTH LLC,PIG N' WHISTLE,402R-00361,4801 West Colfax Avenue,Denver,80204
CANNABIS KING LLC,GREEN DRAGON COLORADO,402R-00038,930 West Byers Place,Denver,80223
CAREGIVERS FOR LIFE LLC,,402R-00086,310 Saint Paul Street,Denver,80206
CCC INC,THE HAPPY CAMPER CANNABIS COMPANY,402R-00245,80 Rosalie Road,Bailey,80421
CG INDUSTRY LLC,CROSS GENETICS,402R-00596,"4902 East Smith Road, Unit C",Denver,80216
CG NETWORK LLC,GROUNDSWELL,402R-00400,3121 East Colfax Avenue,Denver,80206
CHOICE ORGANICS INC,,402R-00033,"813 Smithfield Drive, Units C & D",Fort Collins,80524
CITI-MED LLC,STARBUDS,402R-00022,1640 East Evans Avenue,Denver,80210
CJJ SERVICES LLC,SACRED SEED,402R-00037,5885 East Evans Avenue,Denver,80222
CMED LLC,,402R-00072,"615 Buggy Circle, Unit D",Carbondale,81623
CO-AGRONOMICS LLC,THE GREEN DEPOT,402R-00144,2020 South Broadway,Denver,80210
COLORADO BEST BUDZ LLC,,402R-00424,"23344 Highway 50 East, Unit B",Pueblo,81006
COLORADO BLVD LLC,THE SPRING,402R-00035,15 Colorado Boulevard,Idaho Springs,80452
COLORADO CANNABIS ASSOCIATES LLC,THE SPOT,402R-00157,748 East Industrial Boulevard,Pueblo West,81007
COLORADO CANNABIS ASSOCIATES LLC,THE SPOT,402R-00383,453 North Commercial Street,Trinidad,81082
COLORADO CANNABIS COMPANY LLC,PURE MEDICAL DISPENSARY,402R-00396,1133 Bannock  Street,Denver,80204
COLORADO CARE FACILITY INC,TRU CANNABIS COLFAX,402R-00046,5130 East Colfax Avenue,Denver,80220
COLORADO DISTRIBUTING LLC,NATURES NUGS,402R-00589,893 East Enterprise Drive,Pueblo West,81007
COLORADO FARMS INC,LIGHTSHADE,402R-00163,11975 East 40th Avenue,Denver,80239
COLORADO HEALING LLC,HEADQUARTERS CANNABIS CO,402R-00233,537 Canyon Boulevard,Boulder,80302
COLORADO HEALING LLC,HEADQUARTERS,402R-00367,4497 Ute Highway,Longmont,80503
COLORADO HEALTH CONSULTANTS LLC,STARBUDS,402R-00021,4690 Brighton Boulevard,Denver,80216
COLORADO KIND CARE LLC,VILLAGE GREEN SOCIETY,402R-00200,2043 16th Street,Boulder,80302
COLORADO MEDICAL MARIJUANA SUPPLY INC,THE ORIGINAL LEAF,402R-00321,"555 East Durant Street, Unit 2E",Aspen,81611
COLORADO PRODUCT SERVICES LLC,DOCTOR'S GARDEN,402R-00138,"580 Main Street, Suite 300",Carbondale,81623
COLORADO WELLNESS INC,,402R-00096,2057 South Broadway,Denver,80210
COLORADOS BEST INC,LACONTES CLONE BAR & DISPENSARY,402R-00191,5194 Washington Street,Denver,80216
COLORADOS BEST INC,LACONTES CLONE BAR & DISPENSARY,402R-00408,105 East 7th Avenue,Denver,80203
COMPASSIONATE CARE GIVERS INC,CANNABIS STATION,402R-00068,1201 20th St,Denver,80202
COMPASSIONATE CARE GIVERS INC,ROCKY MOUNTAIN HIGH,402R-00069,1233 West Alameda Avenue,Denver,80223
COMPASSIONATE CARE GIVERS INC,ROCKY MOUNTAIN HIGH,402R-00070,1538 Wazee Street Suit 100,Denver,80202
COMPASSIONATE PAIN MANAGEMENT LLC,AJOYA,402R-00203,"1100 West Dillon Road, Unit D-3",Louisville,80027
COOPER MASON VENTURES LLC,SILVERPEAK APOTHECARY,402R-00140,"520 East Cooper Avenue, Unit LL2 & LL3",Aspen,81611
CRESTED BUTTE WELLNESS CENTER LLC,BACKCOUNTRY CANNABIS COMPANY,402R-00228,"329 Belleview Avenue, Unit A",Crested Butte,81224
CROSSROADS WELLNESS LLC,BOULDER BOTANICS,402R-00190,"1750 30th Street, Unit 7",Boulder,80301
CT MANAGEMENT SERVICES LLC,GARO DEPOT,402R-00448,37671 Highway 9,Fairplay,80440
CURE MEDICAL PHARM INC,RIVERROCK,402R-00126,"990 West 6th Avenue, #5",Denver,80204
D & D CONSULTING INC,SOUTHWEST ALTERNATIVE CARE FOX ST,402R-00544,1075 South Fox Street,Denver,80223
D and C MEDICAL MARIJUANA LLC,GOLDEN LEAF,402R-00171,1755 Lincoln Avenue,Steamboat Springs,80487
DACONO MEDS LLC,SEDGWICK ALTERNATIVE RELIEF,402R-00223,107 Main Avenue,Sedgwick,80749
DAVID KRZYSZTOFIAK LLC,THE HERBAL ALTERNATIVE,402R-00353,1531 North Lebanon Road,Cortez,81321
DELANY & ASSOCIATES LLC,GOOD EARTH MEDS,402R-00247,"600 Cloman Boulevard, Suite 1 & 2",Pagosa Springs,81147
DELILAH LLC,,402R-00182,115 West Colorado Avenue,Telluride,81435
DELTA-9 DELIGHTS LLC,REEFER MADNESS,402R-00104,"4401 East 46th Avenue, Suite B",Denver,80216
DENCO LLC,,402R-00060,"3480 Park Ave West, Unit B",Denver,80216
DENCO LLC,,402R-00345,5155 East 46th Avenue,Denver,80216
DENVER DISPENSARY LLC,DENVER DISPENSARY,402R-00084,4975 Vasquez Boulevard,Denver,80216
DENVER PATIENTS CENTER LLC,SANTE,402R-00409,2070 South Huron Street,Denver,80223
DENVER PATIENTS GROUP LLC,LIVWELL,402R-00167,"2863 Larimer Street, Suite B",Denver,80205
DESSIMALS INC,LUCKY MONKEY BUDS,402R-00476,137 Cedar Street,Trinidad,81082
DGP 38TH LLC,SWEET LEAF,402R-00120,2647 West 38th Avenue,Denver,80211
DGP WALNUT LLC,SWEET LEAF,402R-00119,2609 Walnut Street,Denver,80205
DGS INC,THE KIND ROOM,402R-00012,1881 South Broadway,Denver,80210
DISCOUNT MEDICAL MARIJUANA LLC,HIGH LEVEL HEALTH,402R-00082,2028 East Colfax Avenue,Denver,80206
DISCOUNT MEDICAL MARIJUANA LLC,HIGH LEVEL HEALTH,402R-00083,970 Lincoln Street,Denver,80203
DKC LLC,DENVER KUSH CLUB,402R-00026,2615 Welton Street,Denver,80205
DOCTORS ORDERS LLC,DOCTORS ORDERS,402R-00039,1406 West 38th Avenue,Denver,80211
DP & D HOLDINGS LLC,DURANGO REC ROOM ,402R-00530,"145 East College Drive, Units 1, 2, 3, 4 & 5",Durango,81301
DURANGO ALTERNATIVE LLC,ROCKY MOUNTAIN HIGH,402R-00404,120 East 36th Street,Durango,81301
DURANGO HEALING CENTER LLC,ACME HEALING CENTER,402R-00480,1644 County Road 203,Durango,81301
DURANGO ORGANICS LLP,DURANGO ORGANICS,402R-00243,"72 Suttle Street, Unit G",Durango,81303
DURANGO ORGANICS LLP,DO CORTEZ LLP,402R-00388,1104 East Main Street,Cortez,81321
ECOMED LLC,NATURES MEDICINE SALIDA,402R-00241,"230 West 16th Street,  Suite C",Salida,81201
ELITE ORGANICS LLC,ELITE ORGANICS,402R-00255,"804 South College Avenue, Suite C",Fort Collins,80524
ELK MOUNTAIN TRADING POST LLC,ELK MOUNTAIN TRADING POST LLC,402R-00369,170 East 3rd Street,De Beque,81630
EMERALD CITY WELLNESS LLC,EMERALD CITY,402R-00564,520 Nevada Avenue,Trinidad,81082
EVOLUTIONARY HOLDINGS LLC,CHAMPION CANNABIS,402R-00548,82 South Federal Boulevard,Denver,80219
FARAGOSI FARMS INC,FARAGOSI FARMS,402R-00421,118 Santa Fe Trail,Trinidad,81082
FIDDLERS GREEN LLC,,402R-00512,402 Palomino Trail,Ridgway,81432
FIPG LLC,,402R-00567,67 North Silicon # 130,Pueblo West,81007
FLOWER POWER BOTANICALS LLC,,402R-00150,1308-1310 Duff Drive,Fort Collins,80524
FOX STREET WELLNESS LLC,FOX CANNABIS,402R-00192,4773 North Fox Street,Denver,80216
FREEDOM ROAD GARDEN LTD,FREEDOM ROAD,402R-00496,2600 Freedom Road,Trinidad,81082
FREEDOM ROAD GARDEN MAIN LLC,FREEDOM ROAD,402R-00584,514 West Main Street,Trinidad,81082
FRESH BAKED LLC,FRESH BAKED,402R-00193,2539 Pearl Street,Boulder,80302
FUTUREVISION LTD,MEDICINE MAN,402R-00034,4750 Nome Street,Denver,80239
FUTUREVISION LTD,MEDICINE MAN,402R-00296,1901 South Havana Street,Aurora,80014
GANJA GOURMET LLC,GANJA GOURMET,402R-00103,1810 South Broadway,Denver,80210
GARDEN GREENS LLC,STRAWBERRY FIELDS,402R-00475,4116 Nature Center Road,Pueblo,81003
GG MERCANTILE LLC,REDEYE RELEAF,402R-00121,1410 South Santa Fe Drive,Denver,80223
GM INC,GREEN WORLD,402R-00249,401 4th Avenue,Fort Garland,81133
GMC LLC,GREEN MAN CANNABIS,402R-00152,"1355 Santa Fe Drive, Suite F",Denver,80204
GMC LLC,GREEN MAN CANNABIS,402R-00373,7289 East Hampden Avenue,Denver,80224
GOLDEN MEDS INC,"GM ENTERPRISE, INC.",402R-00062,4620 Peoria Street,Denver,80239
GOLDEN NUGGET DISPENSARY LLC,,402R-00578,127 Main Street,Central City,80427
GREEN AROUND YOU LLC,GOLDEN MEDS INC,402R-00430,"970 South Oneida Street, Unit 15",Denver,80224
GREEN CROSS COLORADO LLC,THE TUMBLEWEED DISPENSARY,402R-00522,"150 South Columbine Court, Unit 100",Parachute,81635
GREEN CROSS COLORADO LLC,TUMBLEWEED EXPRESS,402R-00560,258 South Rail Road,Parachute,81635
GREEN ESSENTIALS MEDICAL LLC,GREEN DRAGON COLORADO,402R-00189,1420 Devereux Road,Glenwood Springs,81601
GREEN ESSENTIALS MEDICAL LLC,ASPEN GREEN DRAGON,402R-00209,409 East Hyman Avenue,Aspen,81611
GREEN FIELDS,GREENFIELDS,402R-00492,1798 West Mississippi Avenue,Denver,80223
GREEN GRASS LLC,,402R-00066,440 Lawrence Street,Central City,80427
GREEN HEART LTD,,402R-00364,19005 East Quincy Avenue,Aurora,80015
GREEN KIWI 1 LLC,LIVWELL,402R-00454,3955 Oneida Street,Denver,80207
GREEN KIWI 2 LLC,LIVWELL,402R-00111,"3980 Franklin Street, Unit 101",Denver,80202
GREEN KIWI 2 LLC,LIVWELL,402R-00112,1660 Pearl Street,Denver,80203
GREEN KIWI 3 LLC,LIVWELL,402R-00439,4540 Highway 6 & 24,De Beque,81630
GREEN KIWI 4 LLC,THE BEACON,402R-00355,1819 East Main Street,Cortez,81321
GREEN KIWI 5 LLC,THE BEACON,402R-00356,449 Railroad Avenue,Mancos,81328
GREEN LIFE SOLUTIONS LLC,GREEN TREE MEDICINALS,402R-00337,"10575 Melody Drive, Suite 102",Northglenn,80234
GREEN MEADOWS WELLNESS LLC,INFINITE WELLNESS CENTER,402R-00235,900 North College Avenue,Fort Collins,80524
GREEN MEDICALS WELLNESS CENTER #5 LLC,SMOKEY'S,402R-00554,"5740 South College Avenue, Unit C",Fort Collins,80525
GREEN MEDICINE LLC,THE GREEN JOINT,402R-00212,1030 Grand Avenue,Glenwood Springs,81601
GREEN STREET DISPENSARY LLC,THE GREENERY,402R-00422,"208 Parker Avenue, Suite E",Durango,81303
GREEN WORLD EXPRESS,GREEN WORLD EXPRESS,402R-00547,5320 US Highway 285,Antonito,81120
GREENWERKZ LLC,GREEN DRAGON COLORADO,402R-00094,5840 West 25th Avenue,Edgewater,80214
GREENWERKZ LLC,GREEN DRAGON COLORADO,402R-00174,2922 South Glen Avenue,Glenwood Springs,81601
GREENWERKZ LLC,GREEN DRAGON COLORADO,402R-00377,19151 East Quincy Avenue,Aurora,80013
GROWHOUSE FRASER LLC,GROWHOUSE FRASER,402R-00366,"511 Zerex Street, Suite 203",Fraser,80482
GUNNISON CANNABIS LLC,ROCKY MOUNTAIN CANNABIS,402R-00509,901 West New York Avenue,Gunnison,81230
HADCAV ENTERPRISES INC,PURE MEDICAL DISPENSARY,402R-00457,5702 East Colfax Avenue,Denver,80220
HCH 3 LLC,THE HIGHWAY,402R-00180,1221 County Road 308,Dumont,80436
HCH2 LLC,,402R-00092,40 South Main Street,Alma,80420
HEALTH DEPOT LLC,STICKY BUDS BROADWAY,402R-00101,2262 South Broadway,Denver,80210
HEALTH DEPOT LLC,STICKY BUDS COLFAX,402R-00238,4615 East Colfax Avenue,Denver,80220
HEALTH SERVICES LLC,GREEN DREAM CANNABIS,402R-00553,"6700 Lookout Road, Suite #5",Boulder,80301
HERBAL ALTERNATIVES LLC,NEW BROADSTERDAM,402R-00148,2568 South Broadway,Denver,80210
HERBAL HEALTH LLC,,402R-00543,419 West 13th Avenue,Denver,80204
HERBAL WELLNESS,SWEET LEAF,402R-00472,4400 East Evans Avenue,Denver,80222
HERBAL WELLNESS LLC,HERBAL WELLNESS,402R-00215,"400 West South Boulder Road, Suite 2700",Lafayette,80026
HERITAGE ORGANICS LLC,HERITAGE ORGANICS,402R-00444,"78 North Precision Drive, Suite B",Pueblo West,81007
HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,402R-00077,1178 South Kalamath Street,Denver,80223
HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,402R-00078,1568 South Broadway,Denver,80210
HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST SUPPLY LLC,402R-00316,14655 E Arapahoe Road,Aurora,80016
HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,402R-00317,"11002 E Yale Avenue, Unit A",Aurora,80014
HIGH STREET GROWERS LLC,,402R-00164,330 Federal Boulevard,Denver,80219
HIGHER FUNCTION LLC,,402R-00541,21801 US Highway 6,Keystone,80435
HIGHLANDS WELLNESS CENTER LLC,THE CLINIC HIGHLANDS,402R-00042,3460 West 32nd Avenue,Denver,80211
HIGHWAY 40 LLC,BONFIRE CANNABIS COMPANY,402R-00574,8 County Road 821,Tabernash,80478
HOBBY FARMS LLC,A CUT ABOVE,402R-00587,1911 South Broadway,Denver,80210
HOLLY MEDICINAL SERVICES LLC,THE CLINIC ON COLORADO,402R-00079,2020 South Colorado Boulevard,Denver,80222
HQ LLC,HIGH Q,402R-00332,730 Main Street,Silt,81652
IGADI LTD,IGADI,402R-00354,"72399 US Highway 40, Unit B",Tabernash,80478
IGADI LTD,IGADI,402R-00489,171 Lawrence Street,Central City,80427
INDOOR HORTICULTURE CENTERS LLC,SANTE ALTERNATIVE WELLNESS,402R-00336,742 1/2 Main Avenue,Durango,81301
J and J ENTERPRISES INC,PAGOSA ORGANIC THERAPEUTICS,402R-00263,"298 Bastille Drive, Suite B1",Pagosa Springs,81147
J and J ENTERPRISES INC,THE GREEN HOUSE,402R-00534,270 East Pagosa Street,Pagosa Springs,81147
J&R PARTNERS LLC,NATIVE ROOTS VAIL,402R-00221,"041290 Highway 6, Unit #B5",Avon,81620
JEM DUTCH ACRES LLC,EARLS,402R-00108,115 Harrison Avenue,Leadville,80461
JGB VENTURES LLC,DANK LLC,402R-00004,"3835 Elm Street, Unit C",Denver,80207
JOIS LLC,SILVER STEM FINE CANNABIS,402R-00135,"3700 West Quincy Avenue, Suite 3702",Denver,80236
JPJR AND ASSOCIATES LLC,STASH HOUSE,402R-00591,4707 Lipan Street,Denver,80211
JS INVESTMENTS AURORA LLC,EUFLORA,402R-00304,6260 South Gun Club Road,Aurora,80016
JS INVESTMENTS AURORA LLC,EUFLORA,402R-00305,"4343 S Buckley Road, Unit E",Aurora,80015
JS INVESTMENTS LLC,EUFLORA,402R-00056,403 16th Street,Denver,80202
JTR CAREGIVERS LLC,HELPING HANDS HERBALS,402R-00236,"1021 Pearl Street, Suite C",Boulder,80302
JVT ENTERPRISES INC,COLORADO CANNABIS CONNECTION,402R-00590,4550 South Kippling Street #4,Denver,80127
K.I.N.D. WELLNESS CENTER LLC,STASH,402R-00160,"710 East Durant Ave, Unit E-1",Aspen,81611
KARING KIND LLC,,402R-00176,"5854 Rawhide Court, Suite C",Boulder,80302
KAYAK CORP,AMSTERDAM CAFE,402R-00075,"1325 South Inca Street, Suite A",Denver,80223
KAZIMER LLC,BUD CELLAR,402R-00071,6666 East Stapleton South Drive,Denver,80216
KENDALL MOUNTAIN LLC,SILVERTON GREEN WORKS,402R-00264,"124 East 13th Street, Unit A",Silverton,81433
KIND CARE OF COLORADO LLC,KIND CARE OF COLORADO LLC,402R-00516,6617 South College Avenue,Fort Collins,80525
KIND LOVE LLC,,402R-00370,4380 East Alameda Avenue,Glendale,80246
KP LLC,THE ALCHEMIST,402R-00565,108 South Mill Street Space A and Space B,Aspen,81611
KUSH GARDENS LLC,KUSH GARDENS LLC,402R-00318,4550 Highway 6 and 24,De Beque,81630
L3ASTOCKCOMPLEX LLC,3-D  CENTER,402R-00007,4305 Brighton Boulevard,Denver,80216
LA CASA CANNA BIS INC,,402R-00429,205 Main Street,San Luis,81152
LARSEN GROUP II LLC,,402R-00488,206 Elm Drive,Log Lane Village,80705
LARSEN GROUP LLC,THE GREEN STOP,402R-00252,"130 Maine Street, Unit B",Log Lane Village,80705
L'EAGLE SERVICES LLC,L'EAGLE,402R-00207,380 Quivas Street,Denver,80223
LIGHTSHADE LABS LLC,LIGHTSHADE LABS,402R-00073,3950 Holly Street,Denver,80207
LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00106,330 South Dayton Street,Denver,80247
LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00293,503 Havana Street,Aurora,80010
LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00360,1126 South Sheridan Boulevard,Denver,80219
LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00479,745 East 6th Avenue,Denver,80216
LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00579,16821 East Iliff Avenue,Aurora,80014
LIVE GREEN CONSULTING LLC,PATIENTS CHOICE ON MORRISON ROAD,402R-00049,4000 Morrison Road,Denver,80219
LIVWELL I LLC,LIVWELL,402R-00194,"2647 8th Avenue, Unit B",Garden City,80631
LIVWELL III LLC,LIVWELL,402R-00168,1941 West Evans Avenue,Denver,80223
LIVWELL VI LLC,LIVWELL,402R-00352,124 Santa Fe Trail,Trinidad,81082
LUCKY TICKET LLC,STARBUDS,402R-00446,"1451 Cortez, Unit A",Denver,80221
LUW HOLDINGS LLC,THE HONEY CELLAR,402R-00199,"5290 Arapahoe Avenue, Suite J",Boulder,80303
LYONS FINEST CONFIDENTIAL CARE LLC,TUMBLEWEED,402R-00464,4071 Ute Highway,Lyons,80540
M&M DISTRIBUTING LLC,,402R-00389,422 North Commercial Street,Trinidad,81082
MAGGIE'S FARM LLC,,402R-00219,"74 North Component Drive, Suite 170",Pueblo West,81007
MAGGIE'S FARM LLC,,402R-00229,141 Manitou Avenue,Manitou Springs,80829
MAGNA MARKETING INC,HERBS 4 YOU,402R-00076,20 East 9th Avenue,Denver,80203
MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS CO,402R-00327,"1750 30th Street, Unit 84A",Boulder,80301
MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,402R-00569,413 North Commercial Street,Trinidad,81082
MAIN STREET CANNABIS,MAIN STREET CANNABIS,402R-00523,401 West Main Street,Trinidad,81082
MARISOL THERAPEUTICS LLC,,402R-00063,922 East Kimble Drive,Pueblo West,81007
MARTINS NATURAL MEDICINALS LLC,,402R-00462,"216 6th Street, Suite A",Glenwood Springs,81601
MAYFLOWER GROUP LLC,THE HEALTH CENTER,402R-00017,1736 Downing Street,Denver,80218
MEDICAL MJ SUPPLY LLC,BESTCOLORADOMEDS.ORG,402R-00154,4800 Lamar Street,Wheat Ridge,80033
MEDICINAL WELLNESS CENTER LLC,OASIS CANNABIS SUPERSTORE,402R-00098,5440 West 44th Avenue,Mountain View,80212
MEDICINAL WELLNESS CENTER LLC,OASIS CANNABIS SUPERSTORE,402R-00099,6359 East Evans Avenue,Denver,80222
MEDICINE MAN LLC,LIFE FLOWER DISPENSARY LLC,402R-00481,4966 Leetsdale Drive,Glendale,80246
MESA GREENS LLC,DOCTORS ORDERS,402R-00524,749 East Enterprise Drive,Pueblo West,81007
