State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Prescriptions Dispensed by US Retailers in that year (millions)
Delaware,2002,54,806169,6.7,5,8.7,142
Delaware,2003,46,818003,5.6,4.1,7.5,149
Delaware,2004,38,830803,4.6,3.2,6.3,155
Delaware,2005,33,845150,3.9,2.7,5.5,163
Delaware,2006,42,859268,4.9,3.5,6.6,174
Delaware,2007,52,871749,6,4.5,7.8,184
Delaware,2008,68,883874,7.7,6,9.8,196
Delaware,2009,93,891730,10.4,8.4,12.8,202
Delaware,2010,116,897934,12.9,10.6,15.3,210
Delaware,2011,115,907135,12.7,10.4,15,219
Delaware,2012,86,917092,9.4,7.5,11.6,217
Delaware,2013,115,925749,12.4,10.2,14.7,207
Delaware,2014,125,935614,13.4,11,15.7,196
District of Columbia,1999,28,570213,4.9,3.3,7.1,116
District of Columbia,2000,43,572059,7.5,5.4,10.1,126
District of Columbia,2001,48,574504,8.4,6.2,11.1,138
District of Columbia,2002,29,573158,5.1,3.4,7.3,142
District of Columbia,2003,60,568502,10.6,8.1,13.6,149
District of Columbia,2004,53,567754,9.3,7,12.2,155
District of Columbia,2005,45,567136,7.9,5.8,10.6,163
District of Columbia,2006,62,570681,10.9,8.3,13.9,174
District of Columbia,2007,29,574404,5,3.4,7.3,184
District of Columbia,2008,33,580236,5.7,3.9,8,196
District of Columbia,2009,13,592228,Unreliable,1.2,3.8,202
District of Columbia,2010,36,601723,6,4.2,8.3,210
District of Columbia,2011,57,617996,9.2,7,11.9,219
District of Columbia,2012,45,632323,7.1,5.2,9.5,217
District of Columbia,2013,60,646449,9.3,7.1,11.9,207
District of Columbia,2014,65,658893,9.9,7.6,12.6,196
Florida,1999,417,15759421,2.6,2.4,2.9,116
Florida,2000,571,15982378,3.6,3.3,3.9,126
Florida,2001,890,16356966,5.4,5.1,5.8,138
Florida,2002,1001,16689370,6,5.6,6.4,142
Florida,2003,1080,17004085,6.4,6,6.7,149
Florida,2004,1258,17415318,7.2,6.8,7.6,155
Florida,2005,1151,17842038,6.5,6.1,6.8,163
Florida,2006,1323,18166990,7.3,6.9,7.7,174
Florida,2007,1519,18367842,8.3,7.9,8.7,184
Florida,2008,1523,18527305,8.2,7.8,8.6,196
Florida,2009,1654,18652644,8.9,8.4,9.3,202
Florida,2010,1739,18801310,9.2,8.8,9.7,210
Florida,2011,1637,19057542,8.6,8.2,9,219
Florida,2012,1383,19317568,7.2,6.8,7.5,217
Florida,2013,1327,19552860,6.8,6.4,7.2,207
Florida,2014,1446,19893297,7.3,6.9,7.6,196
Georgia,1999,85,8045965,1.1,0.8,1.3,116
Georgia,2000,134,8186453,1.6,1.4,1.9,126
Georgia,2001,199,8377038,2.4,2,2.7,138
Georgia,2002,223,8508256,2.6,2.3,3,142
Georgia,2003,248,8622793,2.9,2.5,3.2,149
Georgia,2004,269,8769252,3.1,2.7,3.4,155
Georgia,2005,312,8925922,3.5,3.1,3.9,163
Georgia,2006,344,9155813,3.8,3.4,4.2,174
Georgia,2007,404,9349988,4.3,3.9,4.7,184
Georgia,2008,417,9504843,4.4,4,4.8,196
Georgia,2009,504,9620846,5.2,4.8,5.7,202
Georgia,2010,550,9687653,5.7,5.2,6.2,210
Georgia,2011,549,9815210,5.6,5.1,6.1,219
Georgia,2012,551,9919945,5.6,5.1,6,217
Georgia,2013,539,9992167,5.4,4.9,5.8,207
Georgia,2014,724,10097343,7.2,6.6,7.7,196
Hawaii,1999,34,1210300,2.8,1.9,3.9,116
Hawaii,2000,31,1211537,2.6,1.7,3.6,126
Hawaii,2001,39,1225948,3.2,2.3,4.3,138
Hawaii,2002,48,1239613,3.9,2.9,5.1,142
Hawaii,2003,47,1251154,3.8,2.8,5,149
Hawaii,2004,64,1273569,5,3.9,6.4,155
Hawaii,2005,75,1292729,5.8,4.6,7.3,163
Hawaii,2006,67,1309731,5.1,4,6.5,174
Hawaii,2007,82,1315675,6.2,5,7.7,184
Hawaii,2008,58,1332213,4.4,3.3,5.6,196
Hawaii,2009,59,1346717,4.4,3.3,5.7,202
Hawaii,2010,77,1360301,5.7,4.5,7.1,210
Hawaii,2011,78,1374810,5.7,4.5,7.1,219
Hawaii,2012,64,1392313,4.6,3.5,5.9,217
Hawaii,2013,70,1404054,5,3.9,6.3,207
Hawaii,2014,62,1419561,4.4,3.3,5.6,196
Idaho,1999,32,1275674,2.5,1.7,3.5,116
Idaho,2000,29,1293953,2.2,1.5,3.2,126
Idaho,2001,51,1319962,3.9,2.9,5.1,138
Idaho,2002,45,1340372,3.4,2.4,4.5,142
Idaho,2003,55,1363380,4,3,5.3,149
Idaho,2004,48,1391802,3.4,2.5,4.6,155
Idaho,2005,52,1428241,3.6,2.7,4.8,163
Idaho,2006,71,1468669,4.8,3.8,6.1,174
Idaho,2007,64,1505105,4.3,3.3,5.4,184
Idaho,2008,75,1534320,4.9,3.8,6.1,196
Idaho,2009,66,1554439,4.2,3.3,5.4,202
Idaho,2010,81,1567582,5.2,4.1,6.4,210
Idaho,2011,80,1584985,5,4,6.3,219
Idaho,2012,61,1595728,3.8,2.9,4.9,217
Idaho,2013,81,1612136,5,4,6.2,207
Idaho,2014,80,1634464,4.9,3.9,6.1,196
Illinois,1999,544,12359020,4.4,4,4.8,116
Illinois,2000,629,12419293,5.1,4.7,5.5,126
Illinois,2001,583,12488445,4.7,4.3,5,138
Illinois,2002,612,12525556,4.9,4.5,5.3,142
Illinois,2003,504,12556006,4,3.7,4.4,149
Illinois,2004,575,12589773,4.6,4.2,4.9,155
Illinois,2005,647,12609903,5.1,4.7,5.5,163
Illinois,2006,929,12643955,7.3,6.9,7.8,174
Illinois,2007,739,12695866,5.8,5.4,6.2,184
Illinois,2008,895,12747038,7,6.6,7.5,196
Illinois,2009,933,12796778,7.3,6.8,7.8,202
Illinois,2010,921,12830632,7.2,6.7,7.6,210
Illinois,2011,955,12869257,7.4,7,7.9,219
Illinois,2012,1204,12875255,9.4,8.8,9.9,217
Illinois,2013,1139,12882135,8.8,8.3,9.4,207
Illinois,2014,1263,12880580,9.8,9.3,10.3,196
Indiana,1999,49,6044969,0.8,0.6,1.1,116
Indiana,2000,47,6080485,0.8,0.6,1,126
Indiana,2001,79,6127760,1.3,1,1.6,138
Indiana,2002,74,6155967,1.2,0.9,1.5,142
Indiana,2003,140,6196638,2.3,1.9,2.6,149
Indiana,2004,150,6233007,2.4,2,2.8,155
Indiana,2005,169,6278616,2.7,2.3,3.1,163
Indiana,2006,188,6332669,3,2.5,3.4,174
Indiana,2007,251,6379599,3.9,3.4,4.4,184
Indiana,2008,324,6424806,5,4.5,5.6,196
Indiana,2009,339,6459325,5.2,4.7,5.8,202
Indiana,2010,300,6483802,4.6,4.1,5.2,210
Indiana,2011,375,6516922,5.8,5.2,6.3,219
Indiana,2012,397,6537334,6.1,5.5,6.7,217
Indiana,2013,387,6570902,5.9,5.3,6.5,207
Indiana,2014,489,6596855,7.4,6.8,8.1,196
Iowa,1999,15,2917634,Unreliable,0.3,0.8,116
Iowa,2000,19,2926324,Unreliable,0.4,1,126
Iowa,2001,29,2931997,1,0.7,1.4,138
Iowa,2002,41,2934234,1.4,1,1.9,142
Iowa,2003,43,2941999,1.5,1.1,2,149
Iowa,2004,65,2953635,2.2,1.7,2.8,155
Iowa,2005,74,2964454,2.5,2,3.1,163
Iowa,2006,101,2982644,3.4,2.7,4,174
Iowa,2007,112,2999212,3.7,3,4.4,184
Iowa,2008,138,3016734,4.6,3.8,5.3,196
Iowa,2009,148,3032870,4.9,4.1,5.7,202
Iowa,2010,163,3046355,5.4,4.5,6.2,210
Iowa,2011,183,3062309,6,5.1,6.8,219
Iowa,2012,185,3074186,6,5.2,6.9,217
Iowa,2013,190,3090416,6.1,5.3,7,207
Iowa,2014,170,3107126,5.5,4.6,6.3,196
Kansas,1999,26,2678338,1,0.6,1.4,116
Kansas,2000,23,2688418,0.9,0.5,1.3,126
Kansas,2001,47,2702162,1.7,1.3,2.3,138
Kansas,2002,87,2713535,3.2,2.6,4,142
Kansas,2003,78,2723004,2.9,2.3,3.6,149
Kansas,2004,118,2734373,4.3,3.5,5.1,155
Kansas,2005,112,2745299,4.1,3.3,4.8,163
Kansas,2006,127,2762931,4.6,3.8,5.4,174
Kansas,2007,128,2783785,4.6,3.8,5.4,184
Kansas,2008,103,2808076,3.7,3,4.4,196
Kansas,2009,160,2832704,5.6,4.8,6.5,202
Kansas,2010,111,2853118,3.9,3.2,4.6,210
Kansas,2011,131,2871238,4.6,3.8,5.3,219
Kansas,2012,184,2885905,6.4,5.5,7.3,217
Kansas,2013,171,2893957,5.9,5,6.8,207
Kansas,2014,188,2904021,6.5,5.5,7.4,196
Kentucky,1999,56,4018053,1.4,1.1,1.8,116
Kentucky,2000,94,4041769,2.3,1.9,2.8,126
Kentucky,2001,149,4068132,3.7,3.1,4.3,138
Kentucky,2002,185,4089875,4.5,3.9,5.2,142
Kentucky,2003,242,4117170,5.9,5.1,6.6,149
Kentucky,2004,237,4146101,5.7,5,6.4,155
Kentucky,2005,294,4182742,7,6.2,7.8,163
Kentucky,2006,343,4219239,8.1,7.3,9,174
Kentucky,2007,356,4256672,8.4,7.5,9.2,184
Kentucky,2008,377,4289878,8.8,7.9,9.7,196
Kentucky,2009,455,4317074,10.5,9.6,11.5,202
Kentucky,2010,624,4339367,14.4,13.3,15.5,210
Kentucky,2011,707,4369356,16.2,15,17.4,219
Kentucky,2012,713,4380415,16.3,15.1,17.5,217
Kentucky,2013,689,4395295,15.7,14.5,16.8,207
Kentucky,2014,762,4413457,17.3,16,18.5,196
Louisiana,1999,30,4460811,0.7,0.5,1,116
Louisiana,2000,53,4468976,1.2,0.9,1.6,126
Louisiana,2001,87,4477875,1.9,1.6,2.4,138
Louisiana,2002,105,4497267,2.3,1.9,2.8,142
Louisiana,2003,131,4521042,2.9,2.4,3.4,149
Louisiana,2004,158,4552238,3.5,2.9,4,155
Louisiana,2005,185,4576628,4,3.5,4.6,163
Louisiana,2006,203,4302665,4.7,4.1,5.4,174
Louisiana,2007,228,4375581,5.2,4.5,5.9,184
Louisiana,2008,141,4435586,3.2,2.7,3.7,196
Louisiana,2009,131,4491648,2.9,2.4,3.4,202
Louisiana,2010,130,4533372,2.9,2.4,3.4,210
Louisiana,2011,121,4574836,2.6,2.2,3.1,219
Louisiana,2012,180,4601893,3.9,3.3,4.5,217
Louisiana,2013,270,4625470,5.8,5.1,6.5,207
Louisiana,2014,266,4649676,5.7,5,6.4,196
Maine,1999,32,1266808,2.5,1.7,3.6,116
Maine,2000,42,1274923,3.3,2.4,4.5,126
Maine,2001,61,1285692,4.7,3.6,6.1,138
Maine,2002,100,1295960,7.7,6.2,9.2,142
Maine,2003,92,1306513,7,5.7,8.6,149
Maine,2004,105,1313688,8,6.5,9.5,155
Maine,2005,124,1318787,9.4,7.7,11.1,163
Maine,2006,97,1323619,7.3,5.9,8.9,174
Maine,2007,108,1327040,8.1,6.6,9.7,184
Maine,2008,108,1330509,8.1,6.6,9.6,196
Maine,2009,119,1329590,9,7.3,10.6,202
Maine,2010,91,1328361,6.9,5.5,8.4,210
Maine,2011,95,1328188,7.2,5.8,8.7,219
Maine,2012,107,1329192,8.1,6.5,9.6,217
Maine,2013,134,1328302,10.1,8.4,11.8,207
Maine,2014,174,1330089,13.1,11.1,15,196
Maryland,1999,503,5254509,9.6,8.7,10.4,116
Maryland,2000,497,5296486,9.4,8.6,10.2,126
Maryland,2001,500,5374691,9.3,8.5,10.1,138
Maryland,2002,562,5440389,10.3,9.5,11.2,142
Maryland,2003,568,5496269,10.3,9.5,11.2,149
Maryland,2004,493,5546935,8.9,8.1,9.7,155
Maryland,2005,507,5592379,9.1,8.3,9.9,163
Maryland,2006,584,5627367,10.4,9.5,11.2,174
Maryland,2007,620,5653408,11,10.1,11.8,184
Maryland,2008,533,5684965,9.4,8.6,10.2,196
Maryland,2009,594,5730388,10.4,9.5,11.2,202
Maryland,2010,522,5773552,9,8.3,9.8,210
Maryland,2011,562,5828289,9.6,8.8,10.4,219
Maryland,2012,667,5884563,11.3,10.5,12.2,217
Maryland,2013,759,5928814,12.8,11.9,13.7,207
Maryland,2014,932,5976407,15.6,14.6,16.6,196
Massachusetts,1999,346,6317345,5.5,4.9,6.1,116
Massachusetts,2000,319,6349097,5,4.5,5.6,126
Massachusetts,2001,519,6397634,8.1,7.4,8.8,138
Massachusetts,2002,491,6417206,7.7,7,8.3,142
Massachusetts,2003,595,6422565,9.3,8.5,10,149
Massachusetts,2004,467,6412281,7.3,6.6,7.9,155
Massachusetts,2005,579,6403290,9,8.3,9.8,163
Massachusetts,2006,670,6410084,10.5,9.7,11.2,174
Massachusetts,2007,660,6431559,10.3,9.5,11,184
Massachusetts,2008,612,6468967,9.5,8.7,10.2,196
Massachusetts,2009,636,6517613,9.8,9,10.5,202
Massachusetts,2010,577,6547629,8.8,8.1,9.5,210
Massachusetts,2011,669,6587536,10.2,9.4,10.9,219
Massachusetts,2012,712,6646144,10.7,9.9,11.5,217
Massachusetts,2013,910,6692824,13.6,12.7,14.5,207
Massachusetts,2014,1161,6745408,17.2,16.2,18.2,196
Michigan,1999,140,9897116,1.4,1.2,1.6,116
Michigan,2000,196,9938444,2,1.7,2.2,126
Michigan,2001,211,9991120,2.1,1.8,2.4,138
Michigan,2002,248,10015710,2.5,2.2,2.8,142
Michigan,2003,278,10041152,2.8,2.4,3.1,149
Michigan,2004,390,10055315,3.9,3.5,4.3,155
Michigan,2005,527,10051137,5.2,4.8,5.7,163
Michigan,2006,641,10036081,6.4,5.9,6.9,174
Michigan,2007,523,10001284,5.2,4.8,5.7,184
Michigan,2008,656,9946889,6.6,6.1,7.1,196
Michigan,2009,747,9901591,7.5,7,8.1,202
Michigan,2010,725,9883640,7.3,6.8,7.9,210
Michigan,2011,756,9876187,7.7,7.1,8.2,219
Michigan,2012,700,9883360,7.1,6.6,7.6,217
Michigan,2013,934,9895622,9.4,8.8,10,207
Michigan,2014,1076,9909877,10.9,10.2,11.5,196
Minnesota,1999,67,4873481,1.4,1.1,1.7,116
Minnesota,2000,69,4919479,1.4,1.1,1.8,126
Minnesota,2001,112,4982796,2.2,1.8,2.7,138
Minnesota,2002,112,5018935,2.2,1.8,2.6,142
Minnesota,2003,122,5053572,2.4,2,2.8,149
Minnesota,2004,149,5087713,2.9,2.5,3.4,155
Minnesota,2005,162,5119598,3.2,2.7,3.7,163
Minnesota,2006,188,5163555,3.6,3.1,4.2,174
Minnesota,2007,185,5207203,3.6,3,4.1,184
Minnesota,2008,234,5247018,4.5,3.9,5,196
Minnesota,2009,278,5281203,5.3,4.6,5.9,202
Minnesota,2010,242,5303925,4.6,4,5.1,210
Minnesota,2011,295,5344861,5.5,4.9,6.1,219
Minnesota,2012,298,5379139,5.5,4.9,6.2,217
Minnesota,2013,314,5420380,5.8,5.2,6.4,207
Minnesota,2014,331,5457173,6.1,5.4,6.7,196
Mississippi,1999,16,2828408,Unreliable,0.3,0.9,116
Mississippi,2000,14,2844658,Unreliable,0.3,0.8,126
Mississippi,2001,26,2852994,0.9,0.6,1.3,138
Mississippi,2002,27,2858681,0.9,0.6,1.4,142
Mississippi,2003,31,2868312,1.1,0.7,1.5,149
Mississippi,2004,28,2889010,1,0.6,1.4,155
Mississippi,2005,44,2905943,1.5,1.1,2,163
Mississippi,2006,69,2904978,2.4,1.8,3,174
Mississippi,2007,98,2928350,3.3,2.7,4.1,184
Mississippi,2008,106,2947806,3.6,2.9,4.3,196
Mississippi,2009,98,2958774,3.3,2.7,4,202
Mississippi,2010,105,2967297,3.5,2.9,4.2,210
Mississippi,2011,84,2978512,2.8,2.2,3.5,219
Mississippi,2012,112,2984926,3.8,3.1,4.4,217
Mississippi,2013,103,2991207,3.4,2.8,4.1,207
Mississippi,2014,117,2994079,3.9,3.2,4.6,196
Missouri,1999,106,5561948,1.9,1.5,2.3,116
Missouri,2000,138,5595211,2.5,2.1,2.9,126
Missouri,2001,137,5641142,2.4,2,2.8,138
Missouri,2002,198,5674825,3.5,3,4,142
Missouri,2003,277,5709403,4.9,4.3,5.4,149
Missouri,2004,284,5747741,4.9,4.4,5.5,155
Missouri,2005,306,5790300,5.3,4.7,5.9,163
Missouri,2006,418,5842704,7.2,6.5,7.8,174
Missouri,2007,406,5887612,6.9,6.2,7.6,184
Missouri,2008,490,5923916,8.3,7.5,9,196
Missouri,2009,548,5961088,9.2,8.4,10,202
Missouri,2010,612,5988927,10.2,9.4,11,210
Missouri,2011,614,6010688,10.2,9.4,11,219
Missouri,2012,556,6021988,9.2,8.5,10,217
Missouri,2013,644,6044171,10.7,9.8,11.5,207
Missouri,2014,726,6063589,12,11.1,12.8,196
Montana,1999,16,897507,Unreliable,1,2.9,116
Montana,2000,13,902195,Unreliable,0.8,2.5,126
Montana,2001,21,906961,2.3,1.4,3.5,138
Montana,2002,21,911667,2.3,1.4,3.5,142
Montana,2003,46,919630,5,3.7,6.7,149
Montana,2004,46,930009,4.9,3.6,6.6,155
Montana,2005,47,940102,5,3.7,6.6,163
Montana,2006,52,952692,5.5,4.1,7.2,174
Montana,2007,62,964706,6.4,4.9,8.2,184
Montana,2008,70,976415,7.2,5.6,9.1,196
Montana,2009,94,983982,9.6,7.7,11.7,202
Montana,2010,55,989415,5.6,4.2,7.2,210
Montana,2011,63,998199,6.3,4.8,8.1,219
Montana,2012,53,1005141,5.3,3.9,6.9,217
Montana,2013,68,1015165,6.7,5.2,8.5,207
Montana,2014,54,1023579,5.3,4,6.9,196
Nebraska,1999,Suppressed,1704764,Suppressed,Suppressed,Suppressed,116
Nebraska,2000,16,1711263,Unreliable,0.5,1.5,126
Nebraska,2001,32,1719836,1.9,1.3,2.6,138
Nebraska,2002,25,1728292,1.4,0.9,2.1,142
Nebraska,2003,14,1738643,Unreliable,0.4,1.4,149
Nebraska,2004,26,1749370,1.5,1,2.2,155
Nebraska,2005,43,1761497,2.4,1.8,3.3,163
Nebraska,2006,34,1772693,1.9,1.3,2.7,174
Nebraska,2007,41,1783440,2.3,1.6,3.1,184
Nebraska,2008,30,1796378,1.7,1.1,2.4,196
Nebraska,2009,68,1812683,3.8,2.9,4.8,202
Nebraska,2010,61,1826341,3.3,2.6,4.3,210
Nebraska,2011,54,1842641,2.9,2.2,3.8,219
Nebraska,2012,60,1855525,3.2,2.5,4.2,217
Nebraska,2013,42,1868516,2.2,1.6,3,207
Nebraska,2014,60,1881503,3.2,2.4,4.1,196
Nevada,1999,166,1934718,8.6,7.3,9.9,116
Nevada,2000,203,1998257,10.2,8.8,11.6,126
Nevada,2001,205,2098399,9.8,8.4,11.1,138
Nevada,2002,270,2173791,12.4,10.9,13.9,142
Nevada,2003,287,2248850,12.8,11.3,14.2,149
Nevada,2004,330,2346222,14.1,12.5,15.6,155
Nevada,2005,365,2432143,15,13.5,16.5,163
Nevada,2006,378,2522658,15,13.5,16.5,174
Nevada,2007,414,2601072,15.9,14.4,17.4,184
Nevada,2008,437,2653630,16.5,14.9,18,196
Nevada,2009,498,2684665,18.5,16.9,20.2,202
Nevada,2010,520,2700551,19.3,17.6,20.9,210
Nevada,2011,532,2723322,19.5,17.9,21.2,219
Nevada,2012,493,2758931,17.9,16.3,19.4,217
Nevada,2013,443,2790136,15.9,14.4,17.4,207
Nevada,2014,413,2839099,14.5,13.1,15.9,196
New Hampshire,1999,41,1222014,3.4,2.4,4.6,116
New Hampshire,2000,29,1235786,2.3,1.6,3.4,126
New Hampshire,2001,53,1255517,4.2,3.2,5.5,138
New Hampshire,2002,83,1269089,6.5,5.2,8.1,142
New Hampshire,2003,99,1279840,7.7,6.3,9.4,149
New Hampshire,2004,92,1290121,7.1,5.7,8.7,155
New Hampshire,2005,111,1298492,8.5,7,10.1,163
New Hampshire,2006,108,1308389,8.3,6.7,9.8,174
New Hampshire,2007,148,1312540,11.3,9.5,13.1,184
New Hampshire,2008,94,1315906,7.1,5.8,8.7,196
New Hampshire,2009,127,1316102,9.6,8,11.3,202
New Hampshire,2010,119,1316470,9,7.4,10.7,210
New Hampshire,2011,158,1318194,12,10.1,13.9,219
New Hampshire,2012,134,1320718,10.1,8.4,11.9,217
New Hampshire,2013,161,1323459,12.2,10.3,14,207
New Hampshire,2014,302,1326813,22.8,20.2,25.3,196
New Jersey,1999,344,8359592,4.1,3.7,4.5,116
New Jersey,2000,363,8414350,4.3,3.9,4.8,126
New Jersey,2001,419,8492671,4.9,4.5,5.4,138
New Jersey,2002,505,8552643,5.9,5.4,6.4,142
New Jersey,2003,466,8601402,5.4,4.9,5.9,149
New Jersey,2004,326,8634561,3.8,3.4,4.2,155
New Jersey,2005,454,8651974,5.2,4.8,5.7,163
New Jersey,2006,377,8661679,4.4,3.9,4.8,174
New Jersey,2007,348,8677885,4,3.6,4.4,184
New Jersey,2008,347,8711090,4,3.6,4.4,196
New Jersey,2009,57,8755602,0.7,0.5,0.8,202
New Jersey,2010,384,8791894,4.4,3.9,4.8,210
New Jersey,2011,478,8821155,5.4,4.9,5.9,219
New Jersey,2012,625,8864590,7.1,6.5,7.6,217
New Jersey,2013,711,8899339,8,7.4,8.6,207
New Jersey,2014,757,8938175,8.5,7.9,9.1,196
New Mexico,1999,187,1808082,10.3,8.9,11.8,116
New Mexico,2000,190,1819046,10.4,9,11.9,126
